# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       2.104574586478e-02      -4.118414315098e+01      -5.473493760309e+00      -2.939764215045e+01       1.191294084547e+01      -1.432382419409e+01      -1.406741445344e+02       4.865613829881e+01      -3.602711928103e+02       1.236397840709e+04 
       2.649492400234e-02      -5.164506342636e+01      -7.846225531470e+00      -4.491591697747e+01       2.354004733948e+01      -2.594869373232e+01      -1.951948417911e+02       7.829607172903e+01      -4.857933064419e+02       1.118157531993e+04 
       3.334039688359e-02      -5.527501389818e+01      -1.044466346515e+01      -6.813334866359e+01       4.148942568257e+01      -4.309540033893e+01      -2.611450961641e+02       1.175196046287e+02      -6.011952730343e+02       9.391627994211e+03 
       4.146663661949e-02      -5.000528654132e+01      -1.308217764292e+01      -1.003988671893e+02       6.460983186005e+01      -6.430877445579e+01      -3.329431787173e+02       1.635697196622e+02      -6.946127128482e+02       7.591142621927e+03 
       4.844482212932e-02      -4.441777991655e+01      -1.541289470527e+01      -1.315327573397e+02       8.477875290645e+01      -8.225301748278e+01      -3.884858230608e+02       2.020727802054e+02      -7.670858041745e+02       6.547000110984e+03 
       5.348452215876e-02      -4.250131190915e+01      -1.732582950330e+01      -1.556509296852e+02       9.960845129423e+01      -9.518934124950e+01      -4.250498165469e+02       2.291873207750e+02      -8.248446609570e+02       6.041017907133e+03 
       5.762000197449e-02      -4.239463187317e+01      -1.904641471508e+01      -1.763080852554e+02       1.121153884631e+02      -1.059516592110e+02      -4.527491630184e+02       2.507897539313e+02      -8.754681608152e+02       5.728984504588e+03 
       6.130277128785e-02      -4.284030450437e+01      -2.064504251018e+01      -1.952742775369e+02       1.235745024891e+02      -1.157003335082e+02      -4.755895020557e+02       2.693162016872e+02      -9.205777673313e+02       5.494926725779e+03 
       6.473238494479e-02      -4.296842132280e+01      -2.212697249689e+01      -2.133599046193e+02       1.345044254719e+02      -1.249013029503e+02      -4.952549964864e+02       2.857772808668e+02      -9.598565992910e+02       5.290893506794e+03 
       6.801374808422e-02      -4.209856300142e+01      -2.347531753077e+01      -2.309983586284e+02       1.451286955895e+02      -1.337540636221e+02      -5.125884725171e+02       3.006600896840e+02      -9.924790933109e+02       5.093001584836e+03 
       7.120945719041e-02      -3.969648168262e+01      -2.466746238175e+01      -2.484500442456e+02       1.555295816767e+02      -1.423329487239e+02      -5.280679030182e+02       3.142272731619e+02      -1.017634486725e+03       4.888750036381e+03 
       7.436047955654e-02      -3.538673449021e+01      -2.568394776482e+01      -2.658847080548e+02       1.657112566446e+02      -1.506449550867e+02      -5.419926266942e+02       3.266368761198e+02      -1.034801162236e+03       4.672391087906e+03 
       7.749560400905e-02      -2.895161583338e+01      -2.651206297885e+01      -2.834194306809e+02       1.756325459399e+02      -1.586594234400e+02      -5.545677317652e+02       3.379977858307e+02      -1.043823641464e+03       4.442481423838e+03 
       8.063625789825e-02      -2.036018861294e+01      -2.715005913801e+01      -3.011380528192e+02       1.852265427323e+02      -1.663255521688e+02      -5.659464104812e+02       3.483975882277e+02      -1.045021209072e+03       4.200836174654e+03 
       8.379917491043e-02      -9.837192022324e+00      -2.761374470863e+01      -3.191019134769e+02       1.944162801894e+02      -1.735863064998e+02      -5.762541453775e+02       3.579200972337e+02      -1.039384099802e+03       3.952315331239e+03 
       8.699797169871e-02       2.212601420335e+00      -2.793162182545e+01      -3.373562807752e+02       2.031305218957e+02      -1.803915165005e+02      -5.856001943362e+02       3.666519419631e+02      -1.028308655827e+03       3.702975759136e+03 
       9.024412932475e-02       1.521903961171e+01      -2.814439234753e+01      -3.559343754339e+02       2.113113469875e+02      -1.867036425978e+02      -5.940833761174e+02       3.746837096596e+02      -1.013545199126e+03       3.459589104526e+03 
       9.354763059675e-02       2.843130750388e+01      -2.830701109257e+01      -3.748602542378e+02       2.189280698375e+02      -1.925087589532e+02      -6.017953285714e+02       3.821115797487e+02      -9.972144311654e+02       3.229296797456e+03 
       9.691738862111e-02       4.106400357063e+01      -2.847821640929e+01      -3.941513011967e+02       2.259845212088e+02      -1.978210466655e+02      -6.088176619220e+02       3.890297357365e+02      -9.813986259183e+02       3.018118631111e+03 
       1.003615433839e-01       5.234035549074e+01      -2.871741752515e+01      -4.138195458967e+02       2.325180499565e+02      -2.026813492620e+02      -6.152225254827e+02       3.955279950347e+02      -9.680470578911e+02       2.830768962168e+03 
       1.038876719247e-01       6.160851148652e+01      -2.907675134834e+01      -4.338742680224e+02       2.386072657086e+02      -2.071613257627e+02      -6.210655572464e+02       4.016806904487e+02      -9.586832448123e+02       2.669774915485e+03 
       1.075029401639e-01       6.840876613768e+01      -2.959552715691e+01      -4.543228828121e+02       2.443575141143e+02      -2.113514346598e+02      -6.263855936747e+02       4.075426028592e+02      -9.542979948197e+02       2.535650837278e+03 
       1.112142142490e-01       7.256030950987e+01      -3.029385446813e+01      -4.751723573998e+02       2.498983191969e+02      -2.153580659934e+02      -6.312013245972e+02       4.131428157002e+02      -9.551595653370e+02       2.426490543969e+03 
       1.150281431327e-01       7.427308399645e+01      -3.116342817661e+01      -4.964308906205e+02       2.553584900406e+02      -2.192831785532e+02      -6.355082599206e+02       4.184774801703e+02      -9.606380000405e+02       2.338101200504e+03 
       1.189512202808e-01       7.410646127671e+01      -3.217020206916e+01      -5.181069263349e+02       2.608578110082e+02      -2.232187931183e+02      -6.392844146312e+02       4.235162331353e+02      -9.693405726144e+02       2.264471035354e+03 
       1.229898299820e-01       7.305858327785e+01      -3.324639310109e+01      -5.402105769254e+02       2.664726334999e+02      -2.272199403635e+02      -6.424892828934e+02       4.281984984767e+02      -9.790122189182e+02       2.198109731524e+03 
       1.271502821558e-01       7.237556963890e+01      -3.430398118668e+01      -5.627511163289e+02       2.722296738386e+02      -2.313015078478e+02      -6.450754472804e+02       4.324495384361e+02      -9.869879589686e+02       2.131190500261e+03 
       1.314388385228e-01       7.347817015151e+01      -3.523895931210e+01      -5.857366320985e+02       2.780848074056e+02      -2.354222038728e+02      -6.469931939942e+02       4.361861535094e+02      -9.904045044135e+02       2.056374510882e+03 
       1.358617323134e-01       7.749786112042e+01      -3.596427650615e+01      -6.091709382679e+02       2.839259013441e+02      -2.394891720117e+02      -6.482050777765e+02       4.393393683441e+02      -9.871336611312e+02       1.968978848118e+03 
       1.404251832335e-01       8.518157569422e+01      -3.641701716430e+01      -6.330525802165e+02       2.895852785977e+02      -2.433681685276e+02      -6.486887756543e+02       4.418585694145e+02      -9.759198055310e+02       1.867079852432e+03 
       1.451354091019e-01       9.633226461075e+01      -3.659892880204e+01      -6.573717880914e+02       2.948708136361e+02      -2.469102451952e+02      -6.484502084907e+02       4.437347830198e+02      -9.573394123488e+02       1.753375889707e+03 
       1.499986353743e-01       1.100523616324e+02      -3.656090752855e+01      -6.821111451398e+02       2.995989589618e+02      -2.499765034308e+02      -6.475168009117e+02       4.449905394138e+02      -9.332266023445e+02       1.633356841574e+03 
       1.550211036376e-01       1.245788994324e+02      -3.641708238980e+01      -7.072447263731e+02       3.036463911261e+02      -2.524791289494e+02      -6.459397232112e+02       4.456873376103e+02      -9.068299344588e+02       1.515079957268e+03 
       1.602090800764e-01       1.379239970335e+02      -3.630181995191e+01      -7.327419379701e+02       3.069747869632e+02      -2.543972982409e+02      -6.437771454904e+02       4.459006038868e+02      -8.816131058568e+02       1.406226917139e+03 
       1.655688648612e-01       1.480946534570e+02      -3.635554188859e+01      -7.585689972233e+02       3.096476650296e+02      -2.557893375488e+02      -6.410888299167e+02       4.457122945283e+02      -8.608470241015e+02       1.313094489096e+03 
       1.711068033761e-01       1.540289071978e+02      -3.665980086019e+01      -7.846958881060e+02       3.118160670454e+02      -2.567785671572e+02      -6.379133165573e+02       4.451764936275e+02      -8.461159503456e+02       1.237916666946e+03 
       1.768293001815e-01       1.555492181282e+02      -3.723852719467e+01      -8.110958714403e+02       3.136810489606e+02      -2.575248525810e+02      -6.342718768262e+02       4.443220775653e+02      -8.375091169282e+02       1.179611876735e+03 
       1.827428365958e-01       1.539828703751e+02      -3.801156580765e+01      -8.377510058007e+02       3.154203227929e+02      -2.581664916937e+02      -6.301537528591e+02       4.431287694003e+02      -8.328233267731e+02       1.132913368930e+03 
       1.888539927696e-01       1.514393243877e+02      -3.884202616159e+01      -8.646465010222e+02       3.171485441660e+02      -2.587923980261e+02      -6.255358976220e+02       4.415533416783e+02      -8.288041269035e+02       1.090824215489e+03 
